date,open,high,low,close,symbol
2026-02-24,612.0,629.8,610.0,629.0,MDB
2026-02-25,617.0,639.9,617.0,629.0,MDB
2026-02-26,631.5,640.0,620.0,637.5,MDB
2026-03-01,624.8,633.5,624.0,632.8,MDB
2026-03-03,632.8,666.0,629.0,666.0,MDB
2026-03-09,679.3,705.8,679.3,700.0,MDB
2026-03-10,700.0,700.0,655.1,658.9,MDB
2026-03-11,672.0,672.0,650.1,651.2,MDB
2026-03-12,650.0,662.0,642.0,661.9,MDB
2026-03-15,660.0,673.0,657.0,665.0,MDB
2026-03-16,665.0,667.0,651.7,654.0,MDB
2026-03-17,646.0,658.0,646.0,650.0,MDB
2026-03-19,662.9,682.0,650.5,666.0,MDB
2026-03-22,675.0,675.0,663.0,666.0,MDB
2026-03-23,663.4,669.0,655.0,659.0,MDB
2026-03-24,666.6,666.6,657.0,665.0,MDB
2026-03-25,670.0,670.0,651.0,655.9,MDB
2026-03-26,646.0,659.5,645.0,650.0,MDB
2026-03-29,647.2,647.2,628.0,633.0,MDB
2026-03-30,633.0,639.0,616.0,621.0,MDB
2026-03-31,633.0,633.0,616.0,628.0,MDB
2026-04-01,634.8,634.8,610.0,614.0,MDB
2026-04-02,607.0,633.0,603.1,617.0,MDB
2026-04-05,615.0,615.0,591.2,597.9,MDB
2026-04-06,595.0,618.0,595.0,617.0,MDB
2026-04-07,606.0,620.0,600.0,603.0,MDB
2026-04-08,615.0,620.0,605.2,616.0,MDB
2026-04-09,616.0,629.0,612.1,628.0,MDB
2026-04-10,622.0,625.0,605.3,618.9,MDB
2026-04-13,619.0,623.0,616.0,621.9,MDB
2026-04-15,622.0,630.0,616.0,626.0,MDB
2026-04-16,623.0,626.0,613.4,619.9,MDB
2026-04-17,620.0,620.0,608.0,611.2,MDB
2026-04-20,611.2,613.0,600.0,609.8,MDB
2026-04-21,609.8,609.8,601.1,605.0,MDB
2026-04-22,592.3,610.0,592.2,610.0,MDB
2026-04-23,600.0,605.0,595.0,598.0,MDB
2026-04-24,598.0,600.0,590.2,593.0,MDB
2026-04-27,593.0,600.0,593.0,597.0,MDB
2026-04-28,597.0,607.0,595.0,595.0,MDB
2026-04-29,595.0,595.0,586.1,591.5,MDB
2026-04-30,586.0,589.9,581.2,585.0,MDB
2026-05-04,588.0,588.0,577.0,578.1,MDB
2026-05-05,578.0,585.0,575.2,580.0,MDB
2026-05-06,588.0,590.0,581.1,583.0,MDB
2026-05-07,580.0,588.0,580.0,588.0,MDB
2026-05-08,589.0,598.8,589.0,598.0,MDB
2026-05-11,595.0,631.0,595.0,605.0,MDB
2026-05-12,605.5,607.1,596.0,600.0,MDB
2026-05-13,590.0,604.7,588.0,595.0,MDB
2026-05-14,582.2,600.0,582.2,600.0,MDB
2026-05-15,586.2,604.9,586.0,595.0,MDB
2026-05-18,600.0,602.0,595.0,596.1,MDB
2026-05-19,591.1,602.0,591.1,600.0,MDB
2026-05-20,605.0,605.0,595.0,602.0,MDB
2026-05-21,610.0,614.0,600.0,606.0,MDB
2026-05-22,613.0,614.6,599.0,614.6,MDB
2026-05-25,615.0,618.0,612.2,614.0,MDB
2026-05-26,611.2,613.0,611.0,611.0,MDB
2026-05-27,610.0,612.4,606.0,612.4,MDB
2026-06-01,602.0,609.0,600.0,603.8,MDB
2026-06-02,605.1,612.0,605.1,610.0,MDB
2026-06-03,611.0,622.0,608.1,618.1,MDB
2026-06-04,615.0,620.0,612.0,618.4,MDB
2026-06-05,618.4,630.0,616.0,620.4,MDB
2026-06-08,618.4,630.0,616.0,620.4,MDB
